1.jpg 0 [133.73519897460938,65.8331527709961]
121.jpg 3 [44.700218200683594,79.740478515625]
121.jpg 4 [243.24081420898438,111.01016426086426]
121.jpg 5 [226.83688354492188,168.43782472610474]
121.jpg 6 [42.102561950683594,111.66305923461914]
121.jpg 7 [99.41461181640625,123.64376831054688]
121.jpg 8 [109.84989166259766,104.6834487915039]
121.jpg 9 [95.23532104492188,88.1278076171875]
121.jpg 10 [160.07058715820312,57.886192321777344]
121.jpg 11 [57.29328918457031,177.83420658111572]
121.jpg 12 [188.26126098632812,16.32916259765625]
121.jpg 13 [81.14521789550781,75.05767059326172]
122.jpg 0 [40.14447021484375,92.63711929321289]
122.jpg 1 [214.7846221923828,139.13325881958008]
122.jpg 2 [159.05142211914062,65.66535186767578]
122.jpg 3 [160.41986083984375,114.53322982788086]
122.jpg 4 [86.49993896484375,124.05278587341309]
122.jpg 5 [115.97105407714844,87.18783569335938]
122.jpg 6 [60.93012237548828,50.46653747558594]
122.jpg 7 [206.24111938476562,89.079345703125]
122.jpg 8 [38.81978225708008,132.65498161315918]
122.jpg 9 [251.12969970703125,157.2196605205536]
123.jpg 0 [121.50494384765625,52.82567596435547]
123.jpg 1 [129.588623046875,121.51575660705566]
123.jpg 2 [155.50152587890625,52.00215148925781]
123.jpg 3 [55.20915603637695,117.5795669555664]
123.jpg 4 [159.21377563476562,101.21360397338867]
123.jpg 5 [77.29042053222656,101.66712951660156]
123.jpg 6 [96.10214233398438,163.48983573913574]
123.jpg 7 [217.46725463867188,60.186771392822266]
123.jpg 8 [171.61485290527344,141.79572296142578]
123.jpg 9 [215.64939880371094,83.27737426757812]
123.jpg 10 [110.09141540527344,146.8759479522705]
124.jpg 0 [71.779052734375,57.38779067993164]
124.jpg 1 [139.84378051757812,94.41320037841797]
124.jpg 2 [198.6617431640625,89.58076095581055]
126.jpg 0 [76.45930480957031,169.54686880111694]
126.jpg 1 [157.52508544921875,171.9793257713318]
128.jpg 0 [119.29029846191406,35.10053253173828]
128.jpg 1 [138.5746612548828,127.24442100524902]
13.jpg 0 [128.14744567871094,134.1783618927002]
13.jpg 1 [76.39936065673828,11.741935729980469]
13.jpg 2 [169.821533203125,50.2213020324707]
13.jpg 3 [139.38414001464844,90.46489334106445]
13.jpg 4 [100.74195861816406,78.65105819702148]
130.jpg 0 [150.41207885742188,98.55839920043945]
130.jpg 1 [92.79728698730469,48.95649719238281]
130.jpg 2 [113.14535522460938,98.73155212402344]
131.jpg 0 [148.54580688476562,145.0794792175293]
132.jpg 0 [144.4236602783203,77.19628524780273]
132.jpg 1 [203.99522399902344,72.73125839233398]
132.jpg 2 [85.15029907226562,20.2344970703125]
132.jpg 3 [51.18042755126953,85.13928604125977]
134.jpg 0 [49.42733383178711,93.03445434570312]
134.jpg 1 [141.02462768554688,87.88368225097656]
134.jpg 2 [159.1334228515625,53.36327362060547]
134.jpg 3 [218.69482421875,88.50384330749512]
134.jpg 4 [38.62384033203125,161.77827644348145]
134.jpg 5 [98.14995574951172,85.07780838012695]
135.jpg 0 [213.156494140625,57.433250427246094]
135.jpg 1 [131.1466827392578,167.46709430217743]
136.jpg 0 [81.13944244384766,65.69601058959961]
136.jpg 1 [226.435546875,116.63618469238281]
136.jpg 2 [249.76296997070312,102.36697387695312]
136.jpg 3 [240.20748901367188,14.9444580078125]
136.jpg 4 [70.47431945800781,107.88581466674805]
136.jpg 5 [96.28450012207031,19.634918212890625]
137.jpg 0 [217.84652709960938,100.56596374511719]
137.jpg 1 [167.78477478027344,138.99504470825195]
137.jpg 2 [153.03607177734375,40.268035888671875]
138.jpg 0 [167.9527587890625,160.25216937065125]
138.jpg 1 [90.81690979003906,146.44081020355225]
138.jpg 2 [127.37770080566406,45.658145904541016]
138.jpg 3 [102.20167541503906,91.84985733032227]
138.jpg 4 [92.31269073486328,9.734909057617188]
139.jpg 0 [97.08582305908203,28.38935089111328]
139.jpg 1 [84.50421905517578,102.31056594848633]
14.jpg 0 [111.80714416503906,144.71949577331543]
14.jpg 1 [129.75277709960938,114.36589431762695]
14.jpg 2 [147.33062744140625,31.608131408691406]
14.jpg 3 [80.36915588378906,72.76905822753906]
14.jpg 4 [81.63014221191406,153.55490970611572]
14.jpg 5 [143.279296875,80.3969612121582]
140.jpg 0 [48.17539978027344,115.79905319213867]
140.jpg 1 [97.76515197753906,34.03269958496094]
140.jpg 2 [111.25155639648438,147.7875576019287]
140.jpg 3 [85.6881103515625,73.34415817260742]
140.jpg 4 [155.9795379638672,138.27521896362305]
140.jpg 5 [142.9320068359375,89.07067108154297]
140.jpg 6 [215.42401123046875,21.206924438476562]
141.jpg 0 [242.90313720703125,68.33223724365234]
141.jpg 1 [198.51205444335938,25.773162841796875]
141.jpg 2 [188.2243194580078,52.616756439208984]
141.jpg 3 [60.01711654663086,28.552566528320312]
141.jpg 4 [52.64139938354492,48.30705261230469]
141.jpg 5 [62.39873504638672,99.43521499633789]
141.jpg 6 [70.04861450195312,89.6366195678711]
142.jpg 0 [191.926513671875,178.29897689819336]
142.jpg 1 [104.28072357177734,148.0559196472168]
142.jpg 2 [168.48208618164062,28.522201538085938]
142.jpg 3 [167.556884765625,152.7660207748413]
142.jpg 4 [64.04487609863281,121.1342716217041]
143.jpg 0 [118.9322280883789,105.36302947998047]
143.jpg 1 [177.92636108398438,127.34440040588379]
143.jpg 2 [167.58245849609375,146.1225757598877]
144.jpg 0 [180.8201904296875,110.40200424194336]
146.jpg 0 [33.304168701171875,28.261619567871094]
146.jpg 1 [40.09374237060547,100.02425003051758]
146.jpg 2 [62.337646484375,105.39891052246094]
146.jpg 3 [39.919559478759766,64.1424789428711]
146.jpg 4 [12.589510917663574,150.26983642578125]
147.jpg 0 [67.32096862792969,60.61231994628906]
147.jpg 1 [220.36074829101562,105.69316101074219]
147.jpg 2 [126.36337280273438,90.63104629516602]
147.jpg 3 [54.16845703125,120.44755363464355]
147.jpg 4 [263.45562744140625,59.3879508972168]
147.jpg 5 [16.492273330688477,77.10092544555664]
147.jpg 6 [61.783512115478516,143.74913787841797]
147.jpg 7 [189.76953125,168.09812784194946]
147.jpg 8 [91.30589294433594,101.20045852661133]
147.jpg 9 [133.66358947753906,158.40238857269287]
147.jpg 10 [232.36923217773438,39.933563232421875]
147.jpg 11 [242.8648223876953,147.00972366333008]
147.jpg 12 [229.4375457763672,58.89497375488281]
147.jpg 13 [41.53563690185547,80.0740852355957]
147.jpg 14 [246.68206787109375,163.42430543899536]
147.jpg 15 [129.08297729492188,114.4340991973877]
147.jpg 16 [178.6048583984375,79.8031997680664]
147.jpg 17 [175.633544921875,48.25878143310547]
147.jpg 18 [45.80352783203125,152.45360946655273]
147.jpg 19 [76.9711685180664,123.22988700866699]
147.jpg 20 [141.47030639648438,46.02900695800781]
147.jpg 21 [157.06939697265625,55.94767761230469]
147.jpg 22 [228.093017578125,133.85123443603516]
147.jpg 23 [36.35102081298828,113.26573944091797]
148.jpg 0 [43.987789154052734,103.15629005432129]
148.jpg 1 [129.3826904296875,105.86011123657227]
148.jpg 2 [222.6197967529297,90.35952949523926]
148.jpg 3 [178.18972778320312,56.855491638183594]
149.jpg 0 [126.20764923095703,134.385404586792]
149.jpg 1 [31.788211822509766,46.33477783203125]
149.jpg 2 [34.174957275390625,92.79651260375977]
149.jpg 3 [93.14498901367188,129.0401840209961]
149.jpg 4 [73.98661041259766,167.30702018737793]
149.jpg 5 [171.6392822265625,122.4085865020752]
149.jpg 6 [13.75014877319336,64.7786750793457]
149.jpg 7 [34.2606201171875,16.009506225585938]
15.jpg 0 [39.56367492675781,28.070770263671875]
15.jpg 1 [73.50614929199219,105.03683853149414]
15.jpg 2 [47.230167388916016,99.87264251708984]
15.jpg 3 [83.89091491699219,60.16300964355469]
15.jpg 4 [45.962196350097656,64.5075798034668]
15.jpg 5 [13.918067932128906,151.08172130584717]
151.jpg 0 [102.3425064086914,100.19821739196777]
151.jpg 1 [194.45700073242188,97.99681854248047]
152.jpg 0 [103.41405487060547,20.71685791015625]
152.jpg 1 [157.802734375,72.91986846923828]
152.jpg 2 [65.77898406982422,126.71035385131836]
152.jpg 3 [208.1124725341797,52.01870346069336]
152.jpg 4 [227.2857666015625,87.87629318237305]
152.jpg 5 [124.3086929321289,117.43844795227051]
152.jpg 6 [194.5772247314453,163.35040855407715]
152.jpg 7 [24.13427734375,52.93853759765625]
152.jpg 8 [89.2757339477539,64.69194412231445]
152.jpg 9 [227.49993896484375,18.291282653808594]
152.jpg 10 [233.030029296875,130.04512786865234]
152.jpg 11 [247.80667114257812,170.4731909185648]
152.jpg 12 [91.03173828125,166.71512216329575]
153.jpg 0 [204.42050170898438,72.50891876220703]
153.jpg 1 [86.52203369140625,21.2940673828125]
153.jpg 2 [137.98446655273438,78.54308319091797]
154.jpg 0 [50.19377517700195,93.0058479309082]
154.jpg 1 [143.0515594482422,88.71041488647461]
154.jpg 2 [161.39031982421875,54.03178787231445]
154.jpg 3 [221.7975616455078,88.00693893432617]
154.jpg 4 [39.34036636352539,161.79905557632446]
154.jpg 5 [99.04727172851562,85.02687454223633]
155.jpg 0 [187.43875122070312,81.61523056030273]
155.jpg 1 [179.67645263671875,98.2135238647461]
156.jpg 0 [177.53955078125,117.78349685668945]
158.jpg 0 [75.34320068359375,94.42190551757812]
158.jpg 1 [175.23451232910156,51.43754959106445]
159.jpg 0 [166.4801025390625,121.5157299041748]
159.jpg 1 [206.22731018066406,149.5741844177246]
159.jpg 2 [94.78033447265625,21.149330139160156]
159.jpg 3 [156.18519592285156,28.72063446044922]
159.jpg 4 [76.54151916503906,164.47119331359863]
159.jpg 5 [252.79672241210938,57.489654541015625]
159.jpg 6 [56.065799713134766,67.57905578613281]
16.jpg 0 [179.08392333984375,61.93183517456055]
16.jpg 1 [167.12921142578125,152.91850328445435]
16.jpg 2 [65.3782730102539,45.21715545654297]
16.jpg 3 [136.9669189453125,75.37418365478516]
16.jpg 4 [162.48553466796875,91.66928100585938]
160.jpg 0 [53.13444519042969,134.94061660766602]
160.jpg 1 [27.536069869995117,94.63341522216797]
160.jpg 2 [74.57657623291016,164.90895676612854]
160.jpg 3 [17.56653594970703,68.07609176635742]
160.jpg 4 [117.64073181152344,141.7204418182373]
160.jpg 5 [127.39991760253906,151.40559482574463]
161.jpg 0 [222.74365234375,54.70904541015625]
161.jpg 1 [223.0137939453125,143.59670162200928]
161.jpg 2 [102.07150268554688,27.46118927001953]
161.jpg 3 [55.97019958496094,60.62322235107422]
161.jpg 4 [79.95648956298828,133.84537601470947]
161.jpg 5 [117.171875,159.71952545642853]
161.jpg 6 [162.79074096679688,71.08393096923828]
161.jpg 7 [127.22021484375,82.73670959472656]
162.jpg 0 [49.219581604003906,115.68914794921875]
162.jpg 1 [97.5523681640625,33.98401641845703]
162.jpg 2 [111.01741027832031,148.3498306274414]
162.jpg 3 [154.32733154296875,137.49434280395508]
162.jpg 4 [142.1234893798828,88.87721633911133]
162.jpg 5 [214.22091674804688,20.787254333496094]
162.jpg 6 [85.65837097167969,74.10443115234375]
163.jpg 0 [93.99537658691406,81.64891815185547]
163.jpg 1 [241.22975158691406,48.26787567138672]
163.jpg 2 [46.7293701171875,92.7570686340332]
163.jpg 3 [192.595703125,84.06686401367188]
163.jpg 4 [61.93024444580078,24.448196411132812]
163.jpg 5 [95.7194595336914,153.8093964457512]
163.jpg 6 [182.83494567871094,30.879493713378906]
163.jpg 7 [135.1976318359375,112.99595832824707]
163.jpg 8 [149.83346557617188,42.60575866699219]
164.jpg 0 [171.56585693359375,68.27180480957031]
166.jpg 0 [169.89810180664062,112.76002311706543]
166.jpg 1 [131.43177795410156,131.34792709350586]
166.jpg 2 [213.21963500976562,130.42946434020996]
166.jpg 3 [70.2946548461914,132.3480224609375]
166.jpg 4 [61.0269660949707,57.81529235839844]
166.jpg 5 [92.47208404541016,77.66344833374023]
168.jpg 0 [67.59434509277344,60.38726806640625]
168.jpg 1 [226.649658203125,105.61365509033203]
168.jpg 2 [53.92854690551758,120.64169692993164]
168.jpg 3 [61.58158874511719,143.68868255615234]
168.jpg 4 [131.98193359375,114.87585830688477]
168.jpg 5 [182.6307373046875,79.79861068725586]
168.jpg 6 [19.119077682495117,115.80599403381348]
168.jpg 7 [40.38589096069336,80.0306625366211]
168.jpg 8 [35.277156829833984,113.1618766784668]
168.jpg 9 [249.68292236328125,147.13482189178467]
168.jpg 10 [235.4292755126953,59.090415954589844]
168.jpg 11 [13.044671058654785,77.32725143432617]
168.jpg 12 [238.94627380371094,40.024864196777344]
168.jpg 13 [92.00477600097656,100.68739700317383]
168.jpg 14 [76.78775024414062,123.26560020446777]
168.jpg 15 [128.01611328125,90.91326522827148]
168.jpg 16 [254.3030242919922,163.10272312164307]
168.jpg 17 [170.14398193359375,90.21200180053711]
168.jpg 18 [140.68524169921875,79.04642486572266]
168.jpg 19 [235.09024047851562,133.2996826171875]
168.jpg 20 [45.62095642089844,152.57385349273682]
168.jpg 21 [228.1986846923828,77.27152252197266]
168.jpg 22 [137.65057373046875,158.25208473205566]
168.jpg 23 [161.78366088867188,57.179656982421875]
169.jpg 0 [105.57351684570312,82.74478149414062]
169.jpg 1 [68.10240173339844,141.05475044250488]
169.jpg 2 [204.62008666992188,66.09959030151367]
17.jpg 0 [118.42845153808594,109.13120651245117]
17.jpg 1 [83.63421630859375,74.04894256591797]
17.jpg 2 [91.24111938476562,89.0081901550293]
17.jpg 3 [149.92608642578125,121.75899314880371]
17.jpg 4 [131.9973602294922,70.13707733154297]
17.jpg 5 [221.654541015625,65.38150024414062]
17.jpg 6 [42.05132293701172,57.06868362426758]
17.jpg 7 [170.6085205078125,64.27366638183594]
17.jpg 8 [64.06616973876953,70.9640007019043]
170.jpg 0 [157.47994995117188,55.58485412597656]
170.jpg 1 [82.8804931640625,65.5404281616211]
170.jpg 2 [173.67213439941406,107.21548271179199]
171.jpg 0 [227.43728637695312,106.85971641540527]
171.jpg 1 [90.76152801513672,44.519466400146484]
172.jpg 0 [180.8611602783203,81.13349533081055]
172.jpg 1 [129.15029907226562,99.50712203979492]
172.jpg 2 [179.13925170898438,115.02182579040527]
172.jpg 3 [75.46719360351562,71.32048034667969]
172.jpg 4 [109.31330871582031,50.12886428833008]
173.jpg 0 [71.93341827392578,94.24715805053711]
173.jpg 1 [172.7222442626953,51.977272033691406]
174.jpg 0 [127.83476257324219,65.03577423095703]
174.jpg 1 [245.78067016601562,160.48749542236328]
174.jpg 2 [63.151031494140625,88.66155242919922]
174.jpg 3 [197.76039123535156,155.69659614562988]
175.jpg 0 [210.34054565429688,149.53004837036133]
175.jpg 1 [168.0687255859375,121.94355010986328]
175.jpg 2 [93.76739501953125,21.45421600341797]
175.jpg 3 [157.38970947265625,29.19318389892578]
175.jpg 4 [74.84644317626953,164.46944952011108]
176.jpg 0 [92.36446380615234,27.351463317871094]
176.jpg 1 [219.8701171875,54.73788833618164]
176.jpg 2 [220.4160919189453,143.85855531692505]
176.jpg 3 [68.29550170898438,133.3420867919922]
176.jpg 4 [42.48552322387695,60.8557243347168]
176.jpg 5 [107.45021057128906,159.13489651679993]
176.jpg 6 [157.3773956298828,69.84795379638672]
176.jpg 7 [117.57880401611328,81.55752944946289]
177.jpg 0 [110.26541137695312,94.97113418579102]
177.jpg 1 [189.8539276123047,89.9531478881836]
177.jpg 2 [211.120849609375,85.6101188659668]
177.jpg 3 [128.47164916992188,67.67755889892578]
178.jpg 0 [80.63612365722656,166.30138897895813]
178.jpg 1 [56.21255111694336,134.65907859802246]
178.jpg 2 [136.8289794921875,152.04272747039795]
178.jpg 3 [30.973358154296875,94.72283935546875]
178.jpg 4 [18.081573486328125,68.38762664794922]
178.jpg 5 [43.34187698364258,62.32321548461914]
178.jpg 6 [122.12193298339844,138.3531036376953]
18.jpg 0 [78.12501525878906,54.712886810302734]
18.jpg 1 [62.13634490966797,81.00122451782227]
18.jpg 2 [129.64382934570312,95.52017593383789]
180.jpg 0 [171.10694885253906,67.67806625366211]
180.jpg 1 [118.8848648071289,62.961151123046875]
181.jpg 0 [126.9207763671875,82.10552978515625]
181.jpg 1 [239.6710205078125,67.37322235107422]
181.jpg 2 [82.60513305664062,144.61978578567505]
183.jpg 0 [133.71383666992188,100.2765941619873]
183.jpg 1 [64.64216613769531,71.73563003540039]
183.jpg 2 [108.05574035644531,50.52271270751953]
183.jpg 3 [198.10006713867188,81.07005310058594]
183.jpg 4 [196.057861328125,118.42586326599121]
184.jpg 0 [94.09781646728516,54.42983627319336]
184.jpg 1 [181.06881713867188,51.587791442871094]
184.jpg 2 [144.1782684326172,114.76526069641113]
184.jpg 3 [72.72836303710938,125.04448509216309]
184.jpg 4 [128.5738525390625,21.743423461914062]
184.jpg 5 [219.58445739746094,109.3901596069336]
184.jpg 6 [245.25384521484375,58.294830322265625]
184.jpg 7 [43.34440612792969,78.08613967895508]
184.jpg 8 [212.1290740966797,156.45464706420898]
186.jpg 0 [104.61308288574219,145.72509384155273]
186.jpg 1 [151.5824432373047,169.76905059814453]
186.jpg 2 [149.53199768066406,126.55303764343262]
186.jpg 3 [67.9720687866211,123.14653015136719]
187.jpg 0 [81.71966552734375,117.73531532287598]
187.jpg 1 [156.60247802734375,109.37747955322266]
187.jpg 2 [10.984562873840332,132.20279121398926]
187.jpg 3 [36.84762954711914,83.67136764526367]
187.jpg 4 [235.32293701171875,77.3710708618164]
187.jpg 5 [167.75991821289062,139.18065071105957]
187.jpg 6 [207.42727661132812,120.8989028930664]
187.jpg 7 [227.44276428222656,99.80312728881836]
187.jpg 8 [197.0396728515625,149.60613346099854]
187.jpg 9 [263.3804626464844,127.88455772399902]
187.jpg 10 [113.05436706542969,164.37708401679993]
187.jpg 11 [123.25846099853516,111.27871322631836]
188.jpg 0 [121.33972930908203,98.28311347961426]
188.jpg 1 [97.5780258178711,152.12191680073738]
19.jpg 0 [93.49641418457031,81.01501083374023]
19.jpg 1 [62.984649658203125,61.487213134765625]
19.jpg 2 [213.6233367919922,132.9921417236328]
19.jpg 3 [168.73536682128906,114.76792526245117]
19.jpg 4 [128.4533233642578,132.92956733703613]
19.jpg 5 [72.25287628173828,133.98993682861328]
190.jpg 0 [130.2048797607422,65.24665069580078]
190.jpg 1 [246.58258056640625,160.4928102493286]
190.jpg 2 [198.46478271484375,155.776762008667]
192.jpg 0 [226.4302978515625,71.00553131103516]
192.jpg 1 [141.00112915039062,151.1934690475464]
192.jpg 2 [190.73056030273438,46.210113525390625]
192.jpg 3 [154.29379272460938,159.57737159729004]
195.jpg 0 [120.37211608886719,98.25260162353516]
195.jpg 1 [93.57374572753906,151.9023792743683]
199.jpg 0 [185.91287231445312,113.95395287871361]
2.jpg 0 [95.46485900878906,90.50924682617188]
2.jpg 1 [214.09320068359375,138.89182376861572]
2.jpg 2 [47.006683349609375,38.539581298828125]
2.jpg 3 [200.9115753173828,108.39216041564941]
20.jpg 0 [181.58358764648438,93.21765518188477]
20.jpg 1 [137.40061950683594,101.74995422363281]
20.jpg 2 [85.90185546875,97.9622917175293]
20.jpg 3 [68.22212982177734,47.40391159057617]
20.jpg 4 [136.77394104003906,135.91857719421387]
20.jpg 5 [256.5564270019531,155.0567512512207]
21.jpg 0 [16.887897491455078,175.75477600097656]
21.jpg 1 [219.0571746826172,171.79837346076965]
21.jpg 2 [76.19635009765625,93.94070434570312]
21.jpg 3 [142.0493927001953,156.80481433868408]
21.jpg 4 [66.97823333740234,172.06098413467407]
21.jpg 5 [130.20726013183594,72.6271743774414]
21.jpg 6 [228.7698974609375,24.133460998535156]
21.jpg 7 [96.88499450683594,142.14820289611816]
21.jpg 8 [126.23699951171875,171.4135046005249]
21.jpg 9 [41.07158660888672,118.70617485046387]
21.jpg 10 [110.09742736816406,110.59374237060547]
21.jpg 11 [89.62498474121094,125.34730529785156]
22.jpg 0 [148.10455322265625,149.5247564315796]
22.jpg 1 [77.197998046875,82.11355590820312]
22.jpg 2 [88.33038330078125,111.92942428588867]
22.jpg 3 [47.91716766357422,70.67950057983398]
23.jpg 0 [176.93780517578125,67.15180969238281]
24.jpg 0 [180.7633056640625,77.76081466674805]
24.jpg 1 [139.39767456054688,164.63377571105957]
24.jpg 2 [196.05282592773438,95.53143310546875]
24.jpg 3 [123.1379165649414,63.955989837646484]
24.jpg 4 [170.68234252929688,119.05135345458984]
24.jpg 5 [134.5305938720703,97.12673568725586]
24.jpg 6 [138.26992797851562,47.605628967285156]
24.jpg 7 [68.55351257324219,155.05817127227783]
24.jpg 8 [115.58196258544922,91.79076385498047]
24.jpg 9 [76.2779769897461,78.93200302124023]
24.jpg 10 [80.4969711303711,130.0927791595459]
24.jpg 11 [150.25738525390625,134.17616271972656]
24.jpg 12 [260.17913818359375,78.38907241821289]
25.jpg 0 [67.35266876220703,60.625465393066406]
25.jpg 1 [220.50213623046875,105.65902328491211]
25.jpg 2 [54.12620544433594,120.52645492553711]
25.jpg 3 [232.79296875,40.0394287109375]
25.jpg 4 [91.36468505859375,100.82416152954102]
25.jpg 5 [228.59617614746094,58.91477584838867]
25.jpg 6 [134.026123046875,158.62148666381836]
25.jpg 7 [61.751949310302734,144.06400299072266]
25.jpg 8 [16.644460678100586,77.33805847167969]
25.jpg 9 [263.5899353027344,59.46068572998047]
25.jpg 10 [41.79603576660156,79.88177871704102]
